site,load_exact,load_best,x_exact,x_best,diff_best_minus_exact
75,0.0,21.58700219394428,0,1,21.58700219394428
26,0.0,20.248497917662895,0,1,20.248497917662895
70,0.0,18.541186796701666,0,1,18.541186796701666
11,17.648997665782275,17.199545653060177,1,1,-0.449452012722098
58,0.0,16.62509901083101,0,1,16.62509901083101
13,0.0,16.379510358902237,0,1,16.379510358902237
10,0.0,14.567539529708073,0,1,14.567539529708073
40,0.0,13.670948709591116,0,2,13.670948709591116
38,0.0,13.306833427437306,0,1,13.306833427437306
35,0.0,12.893293038146341,0,1,12.893293038146341
1,0.0,11.21490485123828,0,1,11.21490485123828
14,0.0,11.205724423487968,0,2,11.205724423487968
2,0.0,9.523020942677174,0,1,9.523020942677174
0,0.0,9.319474519290196,0,1,9.319474519290196
49,0.0,8.900034931884342,0,1,8.900034931884342
60,0.0,8.431457290876454,0,1,8.431457290876454
73,0.0,7.162852563168041,0,1,7.162852563168041
69,0.0,4.467907492146649,0,1,4.467907492146649
59,0.0,3.7328437707639646,0,1,3.7328437707639646
6,26.3857260966578,0.0,1,0,-26.3857260966578
15,21.11491752121171,0.0,1,0,-21.11491752121171
20,22.143083638859927,0.0,1,0,-22.143083638859927
29,28.656889513464165,0.0,1,0,-28.656889513464165
22,8.766025820123517,0.0,1,0,-8.766025820123517
37,13.645899829836804,0.0,1,0,-13.645899829836804
43,25.643211817544806,0.0,1,0,-25.643211817544806
48,19.67877627478799,0.0,1,0,-19.67877627478799
67,16.129740319030216,0.0,1,0,-16.129740319030216
68,12.096808398702425,0.0,1,0,-12.096808398702425
71,27.067600525516564,0.0,1,0,-27.067600525516564
